id,cid,courseno,title,md,mt,cd,ct
170,021123,MATH F213,DISCRETE MATHEMATICS,2019-09-28,2:00 PM - 3:30 PM,2019-12-06,02:00 PM - 05:00 PM
171,021124,MATH F214,ELEMENTARY REAL ANALYSIS,2019-10-05,11:00 AM - 12:30 PM,2019-12-12,09:00 AM - 12:00 PM
172,021125,MATH F215,ALGEBRA I,2019-10-04,9:00 AM - 10:30 AM,2019-12-09,02:00 PM - 05:00 PM
173,021469,MATH F311,INTRODUCTION TO TOPOLOGY,2019-10-05,9:00 AM - 10:30 AM,2019-12-10,09:00 AM - 12:00 PM
174,021470,MATH F312,ORDINARY DIFF EQUATIONS,2019-10-03,4:00 PM - 5:30 PM,2019-12-14,09:00 AM - 12:00 PM
175,021471,MATH F313,NUMERICAL ANALYSIS,2019-10-05,4:00 PM - 5:30 PM,2019-12-11,09:00 AM - 12:00 PM
176,021478,MATH F354,COMPLEX ANALYSIS,2019-09-29,11:00 AM - 12:30 PM,2019-12-13,02:00 PM - 05:00 PM
177,021882,MATH F420,MATHEMATICAL MODELING,2019-09-28,4:00 PM - 5:30 PM,2019-12-06,09:00 AM - 12:00 PM
178,022191,MATH F424,APPLIED STOCHASTIC PROCESS,2019-09-30,4:00 PM - 5:30 PM,2019-12-03,02:00 PM - 05:00 PM
179,021476,MATH F471,NONLINEAR OPTIMIZATION,2019-10-01,4:00 PM - 5:30 PM,2019-12-08,09:00 AM - 12:00 PM
180,021013,ME F110,WORKSHOP PRACTICE,,,,
181,021083,ME F211,MECHANICS OF SOLIDS,2019-10-04,11:00 AM - 12:30 PM,2019-12-12,09:00 AM - 12:00 PM
182,021082,ME F212,FLUID MECHANICS,2019-09-28,9:00 AM - 10:30 AM,2019-12-07,02:00 PM - 05:00 PM
183,021081,ME F213,MATERIALS SCIENCE & ENGG,2019-09-30,11:00 AM - 12:30 PM,2019-12-02,02:00 PM - 05:00 PM
184,021084,ME F214,APPLIED THERMODYANMICS,2019-10-01,9:00 AM - 10:30 AM,2019-12-04,09:00 AM - 12:00 PM
185,021265,ME F243,PRODUCTION TECHNIQUES I,2019-09-29,11:00 AM - 12:30 PM,2019-12-09,02:00 PM - 05:00 PM
186,021267,ME F311,HEAT TRANSFER,2019-09-30,9:00 AM - 10:30 AM,2019-12-02,09:00 AM - 12:00 PM
187,021268,ME F312,ADV MECHANICS OF SOLIDS,2019-10-01,11:00 AM - 12:30 PM,2019-12-04,02:00 PM - 05:00 PM
188,021272,ME F342,COMPUTER AIDED DESIGN,2019-09-28,9:00 AM - 10:30 AM,2019-12-07,02:00 PM - 05:00 PM
189,021281,ME F420,POWER PLANT ENGINEERING,2019-10-01,2:00 PM - 3:30 PM,2019-12-10,02:00 PM - 05:00 PM
190,021810,ME F423,MICRO-FLUIDICS & ITS APP,2019-10-03,2:00 PM - 3:30 PM,2019-12-09,02:00 PM - 05:00 PM
191,02309,ME F424,ENERGY MANAGEMENT,2019-10-01,4:00 PM - 5:30 PM,2019-12-08,09:00 AM - 12:00 PM
192,021284,ME F443,"QUALITY CONTROL, ASSURANCE AND RELIABILITY",2019-10-04,4:00 PM - 5:30 PM,2019-12-11,02:00 PM - 05:00 PM
193,00,ME F483,WIND ENERGY,2019-10-04,4:00 PM - 5:30 PM,2019-12-11,02:00 PM - 05:00 PM
194,020741,ME G511,MECHANISMS & ROBOTICS,2019-09-28,2:00 PM - 3:30 PM,2019-12-06,02:00 PM - 05:00 PM
195,020322,ME G512,FINITE ELEMENT METHODS,2019-10-03,2:00 PM - 3:30 PM,2019-12-09,02:00 PM - 05:00 PM
196,020410,ME G515,COMPUT FLUID DYNAMICS,2019-10-01,4:00 PM - 5:30 PM,2019-12-08,09:00 AM - 12:00 PM
197,022079,ME G535,ADVANCED ENG MATH,2019-09-30,9:00 AM - 10:30 AM,2019-12-14,09:00 AM - 12:00 PM
198,020742,MEL G611,I C FABRICATION TECH,2019-10-05,4:00 PM - 5:30 PM,2019-12-04,02:00 PM - 05:00 PM
